,tweets,sentiment,tidy_tweets,absolute_tidy_tweets,key_phrases
607,"👻 JUAL APLIKASI PREMIUM 👻

✓ Aman &amp; Trusted
✓ 100% LEGAL
✓ Bergaransi
✓ Pengerjaan cepat

https://t.co/bwTcIMWJkK… https://t.co/R104g8677j",pos,👻 JUAL APLIKASI PEMIUM 👻 ✓ Aman &amp; Trusted ✓ 100% LEGAL ✓ Bergaransi ✓ Pengerjaan cepat,JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi Pengerjaan cepat,"['👻 jual aplikasi pemium 👻 ✓ aman', 'trusted ✓ 100% legal ✓ bergaransi ✓ pengerjaan cepat']"
608,whoever decided i cant watch disney plus movies without wifi deserves jail time,neg,whoever decided i cant watch disney plus movies without wifi deserves jail time,whoever decided cant watch disney plus movie without wifi deserves jail time,['jail time']
609,"RT @InfosNerd: 🚨 RUMORES: segunda temporada de Loki poderia começar a ser filmada em janeiro de 2022. #LokiWednesdays

Se for esse o caso,…",pos,"🚨UMOES: segunda temporada de Loki poderia começar a ser filmada em janeiro de 2022. #LokiWednesdays Se for esse o caso,…",UMOES segunda temporada de Loki poderia comear ser filmada em janeiro de Se esse caso,"['segunda temporada de loki poderia começar', 'ser filmada', 'se']"
610,"avail your own COURSEHERO account (1 month):

20 unlocks ー ₱40
30 unlocks — ₱50
50 unlocks — ₱70

mop: gcash

🔖 spo… https://t.co/P6xweVxEZd",pos,avail your own COUSEHEO account (1 month): 20 unlocks ー ₱40 30 unlocks — ₱50 50 unlocks — ₱70 mop: gcash 🔖 spo…,avail COUSEHEO account month unlocks unlocks unlocks mop gcash spo,"['avail own couseheo account', 'ー ₱40 30', '— ₱50 50', '— ₱70', 'gcash 🔖 spo…']"
611,"🦖พร้อมส่ง disney plus ค้าบ🦖
1 แอคหารได้ 2 คน
30 วัน🎬
🐢จอละ 50฿
🐞แอคละ 95฿

60วัน🎬
🦄จอละ 75฿
🦓แอคละ 145฿… https://t.co/j7hTW22ZtM",pos,🦖พร้อมส่ง disney plus ค้าบ🦖 1 แอคหารได้ 2 คน 30 วัน🎬 🐢จอละ 50฿ 🐞แอคละ 95฿ 60วัน🎬 🦄จอละ 75฿ 🦓แอคละ 145฿…,disney plus,"['🦖พร้อมส่ง disney', 'คน 30 วัน🎬 🐢จอละ 50฿ 🐞แอคละ 95฿ 60วัน🎬 🦄จอละ 75฿ 🦓แอคละ 145฿…']"
612,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun… https://t.co/QP1Fv4y1ZQ,pos,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun…,spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun,"['premium netflix ph affordable cheap viu crunchyroll', 'solo vpn iwant quizlet skillshare crun…']"
613,"@DisneyStudiosBR Se é pra cobrar Premier Access, então não cobre o Disney Plus, né, meu consagrado???",pos,"@DisneyStudiosB Se é pra cobrar Premier Access, então não cobre o Disney Plus, né, meu consagrado???",DisneyStudiosB Se pra cobrar Premier Access ento cobre Disney Plus n meu consagrado,"['disneystudiosb se é pra cobrar premier access', 'então não cobre', 'disney plus', 'meu consagrado']"
614,@501yojachingu He should watch it online then ...  via Disney plus subscription!  The movie was superb! 'Twas worth… https://t.co/jlKZaCS8Zf,pos,@501yojachingu He should watch it online then ... via Disney plus subscription! The movie was superb! 'Twas worth…,yojachingu He watch online via Disney plus subscription The movie superb Twas worth,"['disney', ""' twas worth…""]"
615,Disney plus e muito aulas exqueceeee b,pos,Disney plus e muito aulas exqueceeee b,Disney plus e muito aulas exqueceeee b,"['disney', 'e muito aulas exqueceeee b']"
616,"🏰DISNEY PLUS🎢
arcenia7427@uorak.com
am12345678

tammy7422@uorak.com
am12345678

haijuan5013@uorak.com
am12345678

t… https://t.co/Ktxcqzqywy",pos,🏰DISNEY PLUS🎢 arcenia7427@uorak.com am12345678 tammy7422@uorak.com am12345678 haijuan5013@uorak.com am12345678 t…,DISNEY PLUS arceniauorakcom tammyuorakcom haijuanuorakcom,['🏰disney plus🎢 arcenia7427@uorak.com am12345678 tammy7422@uorak.com am12345678 haijuan5013@uorak.com am12345678 t…']
617,"@yamnfei lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtu… https://t.co/Y9NoZjvW9h",pos,"@yamnfei lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtu…",yamnfei lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva youtu,"['yamnfei lagi nyari app premium', 'bulgegi punya nih']"
618,"Cruella estreia hoje (16), gratuitamente para os assinantes do Disney Plus.

#Cruella #Disney… https://t.co/2rnWHDJIsK",pos,"Cruella estreia hoje (16), gratuitamente para os assinantes do Disney Plus. #Cruella #Disney…",Cruella estreia hoje gratuitamente para o assinantes Disney Plus,"['cruella estreia hoje', 'gratuitamente para os assinantes', 'disney plus']"
619,"Na minha cabeça a pixar vai lançar os incríveis 3 como série no disney plus, e eu bem acho que eles poderiam explor… https://t.co/riHxVYG1J3",pos,"Na minha cabeça a pixar vai lançar os incríveis 3 como série no disney plus, e eu bem acho que eles poderiam explor…",Na minha cabea pixar vai lanar o incrveis como srie disney plus e eu bem acho que eles poderiam explor,"['minha cabeça', 'pixar vai lançar os incríveis 3 como série', 'e eu bem acho que eles poderiam explor…']"
620,"@Nain2rue @FRhardware Ouais, aillant les trois j'utilise plus Disney+ et Netflix",pos,"@Nain2rue @Fhardware Ouais, aillant les trois j'utilise plus Disney+ et Netflix",Nainrue Fhardware Ouais aillant le trois jutilise plus Disney et Netflix,"['fhardware ouais', 'aillant les trois j', 'disney', 'et netflix']"
621,Bueno habilite mi cuenta de HBO max y lo unico que voy a decir es: entre esto y disney plus me perdieron,pos,Bueno habilite mi cuenta de HBO max y lo unico que voy a decir es: entre esto y disney plus me perdieron,Bueno habilite mi cuenta de HBO max lo unico que voy decir e entre esto disney plus perdieron,"['bueno habilite mi cuenta de hbo max y', 'entre esto y disney']"
622,"Vou mandar Disney Plus aqui msm, preguiça de mandar por dmmmm",pos,"Vou mandar Disney Plus aqui msm, preguiça de mandar por dmmmm",Vou mandar Disney Plus aqui msm preguia de mandar por dmmmm,"['vou mandar disney plus aqui msm', 'preguiça de mandar por dmmmm']"
623,quem viu minha animação no dia que o disney plus saiu jamais imaginaria a vontade que tô de cancelar essa merda,pos,quem viu minha animação no dia que o disney plus saiu jamais imaginaria a vontade que tô de cancelar essa merda,quem viu minha animao dia que disney plus saiu jamais imaginaria vontade que de cancelar essa merda,"['quem viu minha animação', 'saiu jamais imaginaria', 'vontade que tô de cancelar essa merda']"
624,Reboot jonas la on disney plus https://t.co/GX09zN4iYk,pos,eboot jonas la on disney plus,eboot jonas la disney plus,[]
625,@omikewazowski tudo p mim!! disney plus eu te venero,pos,@omikewazowski tudo p mim!! disney plus eu te venero,omikewazowski tudo p mim disney plus eu te venero,"['omikewazowski tudo p mim', 'eu te venero']"
626,Yo con Disney plus https://t.co/RoVIqRH4qr,pos,Yo con Disney plus,Yo con Disney plus,['yo con disney']
627,"@arexaaaanezzz_ lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva… https://t.co/dSOA12OJEL",pos,"@arexaaaanezzz_ lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva…",arexaaaanezzz lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva,"['arexaaaanezzz _ lagi nyari app premium', 'bulgegi punya nih']"
628,@Smuglyfe1 Dude theres a deal where you can get ESPN hulu and Disney plus for 13.99 a month rn,pos,@Smuglyfe1 Dude theres a deal where you can get ESPN hulu and Disney plus for 13.99 a month rn,Smuglyfe Dude there deal get ESPN hulu Disney plus month rn,"['smuglyfe1 dude theres', 'espn hulu', 'disney', '13.99 month rn']"
629,@MovieMikeC Saw that one on Disney Plus.,pos,@MovieMikeC Saw that one on Disney Plus.,MovieMikeC Saw one Disney Plus,['disney plus']
630,RT @DisneyParks: Today's @Disneyland Resort Dining Guide update comes with exciting news – you will soon be able to begin your day with Cha…,pos,Today's @Disneylandesort Dining Guide update comes with exciting news – you will soon be able to begin your day with Cha…,Todays Disneylandesort Dining Guide update come exciting news soon able begin day Cha,"['disneylandesort dining guide', 'exciting news', 'cha…']"
631,"Jajaja me recordó a mi mamá que le compré un Amazon fire stick par hacer su tele smart y tiene Netflix, Amazon prim… https://t.co/CNgGkOhFsZ",pos,"Jajaja me recordó a mi mamá que le compré un Amazon fire stick par hacer su tele smart y tiene Netflix, Amazon prim…",Jajaja record mi mam que le compr un Amazon fire stick par hacer su tele smart tiene Netflix Amazon prim,"['jajaja', 'mi mamá que le compré un amazon fire', 'par hacer su tele smart y tiene netflix', 'amazon prim…']"
632,"@sommeil_bon oii, tô dando um combo (disney plus e hbo max) pra quem usar meu código do kwai. se quiser me chama na dm",pos,"@sommeil_bon oii, tô dando um combo (disney plus e hbo max) pra quem usar meu código do kwai. se quiser me chama na dm",sommeilbon oii dando um combo disney plus e hbo max pra quem usar meu cdigo kwai se quiser chama na dm,"['sommeil_bon oii', 'tô dando um combo', 'e hbo max', 'pra quem usar meu código']"
633,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo iwant quizlet skillshare ebooks c… https://t.co/ZWVe2LaYOz,pos,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo iwant quizlet skillshare ebooks c…,spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo iwant quizlet skillshare ebooks c,"['premium netflix ph affordable cheap viu crunchyroll', 'solo iwant quizlet skillshare ebooks c…']"
634,Prestenme un disney plus para ver loki,pos,Prestenme un disney plus para ver loki,Prestenme un disney plus para ver loki,"['prestenme un disney', 'para ver loki']"
635,Estuve media hora mostrándole el catálogo entero de disney plus a karim y lo único que sabe hacer es gritarme cars sin parar 💀💀🤡🤡🤡,pos,Estuve media hora mostrándole el catálogo entero de disney plus a karim y lo único que sabe hacer es gritarme cars sin parar 💀💀🤡🤡🤡,Estuve medium hora mostrndole el catlogo entero de disney plus karim lo nico que sabe hacer e gritarme car sin parar,"['estuve media hora mostrándole el catálogo entero de disney', 'karim y', 'único que sabe hacer es gritarme cars sin parar 💀💀🤡🤡🤡']"
636,wtf hulk isnt on disney plus,neg,wtf hulk isnt on disney plus,wtf hulk isnt disney plus,[]
